"","IterYear","AgeInYears","cohortsize"
"10647",2038,119,476538.574965537
"10648",2038,120,10409564.181165
"10649",2039,0,9619590.19961564
"10650",2039,1,9701129.57764337
"10651",2039,2,9590298.73676073
"10652",2039,3,9476793.23157165
"10653",2039,4,9362909.99274716
"10654",2039,5,9420673.74781187
"10655",2039,6,9121215.49283029
"10656",2039,7,8998848.53039414
"10657",2039,8,8875463.81859763
"10658",2039,9,8751503.07647748
"10659",2039,10,8629774.74736651
"10660",2039,11,8668092.5492671
"10661",2039,12,8380592.66463885
"10662",2039,13,8258919.8281026
"10663",2039,14,8139070.08267081
"10664",2039,15,8023509.23353905
"10665",2039,16,8058448.20350278
"10666",2039,17,7791982.99398857
"10667",2039,18,7681106.84295694
"10668",2039,19,7573587.34906139
"10669",2039,20,7469657.66388802
"10670",2039,21,7370695.25437199
"10671",2039,22,7410544.24664866
"10672",2039,23,7171573.49146691
"10673",2039,24,7071314.7945454
"10674",2039,25,6967087.67830571
"10675",2039,26,6857384.35931044
"10676",2039,27,6872144.51746982
"10677",2039,28,6619926.31648653
"10678",2039,29,6493552.99973189
"10679",2039,30,6364182.35041807
"10680",2039,31,6233817.70600527
"10681",2039,32,6106564.39564621
"10682",2039,33,6091568.97674424
"10683",2039,34,5848430.57702905
"10684",2039,35,5721766.5141643
"10685",2039,36,5594987.72793361
"10686",2039,37,5468069.40038078
"10687",2039,38,5344035.14195147
"10688",2039,39,5317605.01502881
"10689",2039,40,5093175.70131993
"10690",2039,41,4972701.06247714
"10691",2039,42,4855720.87710202
"10692",2039,43,4745074.48367262
"10693",2039,44,4725000.19863111
"10694",2039,45,4532268.88585218
"10695",2039,46,4434123.25746929
"10696",2039,47,4340369.66782836
"10697",2039,48,4250848.80909289
"10698",2039,49,4167039.52561152
"10699",2039,50,4162882.29089026
"10700",2039,51,4004926.24364764
"10701",2039,52,3928255.65177199
"10702",2039,53,3852865.47964728
"10703",2039,54,3777870.00149375
"10704",2039,55,3774314.23122595
"10705",2039,56,3626296.77836076
"10706",2039,57,3548779.05229879
"10707",2039,58,3469483.57989782
"10708",2039,59,3388007.59717692
"10709",2039,60,3305964.44220763
"10710",2039,61,3281520.74237765
"10711",2039,62,3132561.43617576
"10712",2039,63,3045799.76740605
"10713",2039,64,2959115.68028668
"10714",2039,65,2872982.2931359
"10715",2039,66,2789751.81927088
"10716",2039,67,2758398.77578587
"10717",2039,68,2626910.93591654
"10718",2039,69,2552904.58412653
"10719",2039,70,2484373.34996827
